# Astronet-Triage-v2 TCE information
# TIC ID
# Epoch: BLS-detected transit center in BTJD (BJD - 2457000)
# Period: BLS-detected period in days
# Duration: BLS-detected duration in days
# Depth: BLS-detected depth in ppm
# SMass: stellar mass in solar masses via TIC 8.2
# SRad: stellar radius in solar radii via TIC 8.2
# SRadEst: estimated stellar radius (see section 3.2 for more info)
# Tmag: TESS-band magnitude
# Year: 1, 2, or 3 -- the TESS Cycle during which the signal was detected
# MinT and MaxT: min and max BTJD used from the light curve
# Split: test, train, or val -- which dataset the signal was used for
# Consensus Label: final label used for training by unanimous vote or discusison. When absent, we
#                  used a weighted average of the individual votes for training.
# L1-8: labels assigned by our eight individual labellers
TIC ID,Epoch,Period,Duration,Depth,SMass,SRad,SRadEst,Tmag,Year,MinT,MaxT,Split,Consensus Label,L1,L2,L3,L4,L5,L6,L7,L8,Notes
,BTJD,days,days,ppm,M_sun,R_sun,R_sun,,,BTJD,BTJD,,,,,,,,,,,
387242167,1655.407925,4.081254,0.1808811773,330,,11.2034,11.46885329,6.7236,1,1653.925888,1682.342692,test,,J,N,J,,,,,,
141709436,1338.471105,24.959872,0.2188980774,640,0.98,0.886142,0.8787521896,6.9129,1,1325.322344,1682.344195,test,J,J,J,J,,,,,,
407089973,1626.073791,0.365865,0.0647507877,24320,1.31,1.64818,1.653170476,11.3884,1,1624.969731,1682.344736,test,B,B,B,B,,,,,,
261007876,1342.968554,42.528679,0.6557922302,3830,,17.0324,15.93901351,10.0785,1,1325.323014,1682.344054,test,J,J,S,J,,,,,,
31265416,1351.981451,35.055941,0.2769419339,1030,,,2.423627842,8.8465,1,1325.322219,1682.343794,test,E,J,E,E,,,,,,
468189762,1654.022775,28.367878,0.1636826561,2741820,1.07,0.854493,0.8686045512,10.5783,1,1624.968904,1682.343863,test,J,J,J,J,,,,,,
281581295,1326.218107,1.411698,0.1536350933,230,1.9,2.15887,2.110885038,10.9404,1,1325.320649,1682.345336,test,J,J,J,J,,,,,,
183978641,1328.467239,10.029754,0.1872555072,2110,,2.77306,2.773490482,11.2971,1,1325.323759,1682.343133,test,E,E,S,E,,,,,,
301951317,1628.211678,0.711585,0.1293305738,610,0.670905,0.71047,0.880496544,11.205,1,1624.969513,1682.344505,test,,B,J,B,,,,,,
370137810,1330.181011,11.513087,0.2225479717,720,,11.5589,11.99251141,5.9265,1,1325.323089,1682.343057,test,,J,N,J,,,,,,
120245973,1657.583028,24.55839,0.3676390983,17600,,11.9181,13.12308721,11.0529,1,1653.926983,1682.343689,test,J,J,S,J,,,,,,
262576412,1328.229594,18.091058,0.1682468394,590,,11.9194,10.87195086,10.8001,1,1325.320598,1682.345301,test,,J,N,J,,,,,,
30640584,1327.619295,17.554,0.20345086,280,,12.2076,12.55249011,11.4584,1,1325.32205,1652.864476,test,,J,N,J,,,,,,
346792635,1626.725678,27.853995,0.2556996741,1970,,10.1576,10.70825233,11.3307,1,1624.969108,1682.344078,test,J,J,S,J,,,,,,
294054226,1327.233248,1.616559,0.05328178464,1300,1.56,2.13317,2.02188254,11.4469,1,1325.320671,1652.865904,test,J,J,J,J,,,,,,
404850274,1326.773034,1.497809,0.1389966752,420,1.64924,1.79929,183.7836402,10.8471,1,1325.321923,1682.344025,test,,J,J,B,,,,,,
86256092,1657.65363,10.599814,0.1899486669,690,,,79.06700093,8.4548,1,1653.927407,1682.344072,test,,J,N,J,,,,,,
456564311,1656.739334,14.195605,0.280931023,4460,,10.3522,9.854735056,8.8732,1,1653.926854,1682.343571,test,S,E,N,J,,,,,,
294297441,1629.864185,12.293898,0.1367081458,700,,10.217,10.10836031,7.9691,1,1624.969347,1682.34433,test,J,J,J,J,,,,,,
310048850,1640.571034,14.155529,0.1862867616,13230,1.02,3.49962,3.637442854,10.766,1,1624.969634,1682.344622,test,J,J,J,J,,,,,,
25118084,1353.017467,37.293059,0.3442149346,380,1.29,1.35396,1.356906265,10.3533,1,1325.322634,1652.864158,test,J,J,J,J,,,,,,
350143239,1326.127159,0.563087,0.02352577486,640,1.78,2.74141,2.665865264,9.6536,1,1325.321007,1682.345176,test,,J,B,J,,,,,,
295597936,1655.319632,2.091706,0.1773139176,510,,10.7093,10.97740955,10.8633,1,1653.927372,1682.344042,test,N,J,E,J,,,,,,
31672295,1335.093929,30.363741,0.3057628719,1540,1.15,0.974952,1.03773427,10.3514,1,1325.32304,1682.342986,test,J,J,J,J,,,,,,
294786403,1371.884445,20.645922,0.2178144771,7890,,3.96384,4.251188478,10.2078,1,1354.11482,1682.343643,test,J,J,J,J,,,,,,
281575623,1325.756865,1.292254,0.1383099456,130,1.89,1.60163,1.618529121,8.4146,1,1325.320606,1682.345284,test,J,J,J,J,,,,,,
394677476,1326.662068,5.628365,0.1213475494,660,,,11.04409939,8.068,1,1325.32319,1682.343622,test,,J,N,J,,,,,,
314867074,1326.839822,15.747627,0.3343221212,230,,6.16575,6.406538922,9.1018,1,1325.323057,1682.343463,test,J,J,J,J,,,,,,
293658159,1628.234583,0.903946,0.1909314741,1060,,,5.354619029,7.0593,1,1624.969467,1682.344457,test,,J,B,J,,,,,,
323816112,1598.594154,0.298504,0.01716995008,9309,1.83,2.84236,2.810347084,10.3782,1,1596.782093,1682.344828,test,J,J,J,J,,,,,,
466657734,1657.054732,13.369069,0.1536106028,2380,,3.6244,2.911776338,11.2901,1,1653.926228,1682.343002,test,J,J,E,E,,,,,,
246775390,1657.248178,0.437517,0.03992780142,2600,1.51,1.91346,1.881802996,10.1208,1,1653.926539,1682.343283,test,,J,B,J,,,,,,
257771321,1633.597543,12.806107,0.1749314216,709,,11.2351,10.63281124,10.0353,1,1624.968891,1682.343849,test,,J,N,J,,,,,,
267047136,1326.169923,2.939476,0.2103195078,400,,11.3272,10.81251859,9.3746,1,1325.324192,1682.342874,test,,J,N,J,,,,,,
279513055,1354.627171,0.590865,0.1123470711,1220,1.86,3.24918,3.195411051,8.6435,1,1354.112932,1652.865892,test,,J,B,J,,,,,,
349895353,1658.137117,1.111822,0.1346194078,2460,1.09,2.30953,2.370789378,10.9424,1,1653.927248,1682.343928,test,J,J,J,J,,,,,,
300209862,1655.773054,13.275686,0.3618952004,186970,1.35,3.51788,3.049839998,11.1107,1,1653.925428,1682.342274,test,J,J,S,J,,,,,,
167892298,1344.463216,24.768903,0.2380291578,2930,1.21,1.58551,1.48573755,10.8508,1,1325.320842,1682.344863,test,J,J,J,J,,,,,,
87259483,1662.833822,6.241045,0.1307498928,2620,,10.407,9.817119716,10.5047,1,1653.927334,1682.344006,test,E,E,E,E,,,,,,
269730852,1325.724235,3.064476,0.2599288543,190,,10.6626,10.71321876,9.89,1,1325.323022,1682.343779,test,J,J,J,J,,,,,,
49535471,1667.960925,10.880231,0.3093249673,5529,,13.4668,15.20341331,9.5758,1,1653.927283,1682.34396,test,S,E,S,S,,,,,,
260609800,1327.473338,2.933226,0.2387645964,169,,11.8919,11.14719496,10.3002,1,1325.32077,1682.344544,test,J,J,J,J,,,,,,
351394662,1654.674023,13.796241,0.344216213,7010,1.77,2.26223,2.351273228,11.2311,1,1653.925971,1682.342768,test,J,J,S,J,,,,,,
32096698,1657.700808,1.615989,0.1906220624,869,0.95,0.951944,1.009024317,8.6959,1,1653.925863,1682.342669,test,J,J,J,J,,,,,,
41260186,1325.974104,0.538087,0.07577879221,180,1.32,3.89967,4.014729098,10.4997,1,1325.321869,1652.865103,test,J,J,J,J,,,,,,
22703141,1658.660393,2.244215,0.1800758116,2560,,10.3523,10.45984177,10.1074,1,1653.927625,1682.344271,test,E,E,E,E,,,,,,
180796241,1332.682303,15.327762,0.3131461777,1000,,25.842,25.92971902,3.8836,1,1325.32409,1682.342719,test,J,J,S,J,,,,,,
349410139,1326.296712,3.191559,0.3034215141,220,1.48,1.65236,1.706459446,11.3576,1,1325.320814,1652.865992,test,J,J,J,J,,,,,,
260265631,1327.149547,5.128365,0.3028299533,3770,1.65,1.53272,1.488765048,10.2061,1,1325.320882,1682.344372,test,J,J,J,J,,,,,,
410405352,1626.889372,15.29532,0.1327633776,2810,,11.1491,11.80449537,10.4244,1,1624.969124,1682.344095,test,J,J,J,J,,,,,,
394655028,1336.475849,15.623631,0.3935592649,920,,18.46,18.84569789,11.0793,1,1325.32315,1682.343513,test,J,J,J,J,,,,,,
284194555,1325.771402,0.307532,0.02476862728,300,1.77,1.99786,1.636030082,11.4115,1,1325.321382,1682.344732,test,J,J,J,J,,,,,,
349790304,1326.403159,3.372809,0.133428324,169,,10.2011,11.18027967,8.8942,1,1325.320825,1652.866108,test,,J,N,J,,,,,,
267363343,1339.724098,15.033013,0.2047496371,2830,0.97,1.47492,1.298155676,11.3886,1,1325.324093,1682.34292,test,J,J,J,J,,,,,,
287955947,1384.2667,1.043643,0.1875113378,3920,1.2,1.34463,1.363285088,11.1075,1,1381.718457,1652.865865,test,J,J,J,J,,,,,,
287961788,1385.801211,12.862025,0.1104847947,2480,1.48,2.70875,2.78706955,11.0207,1,1381.718304,1652.86601,test,J,J,J,J,,,,,,
419736605,1654.63917,0.624779,0.06240292652,440220,1.51,1.96082,1.877176729,9.2785,1,1653.925945,1682.342744,test,E,B,E,E,,,,,,
167207809,1364.397132,43.455106,0.8334689331,4770,,5.24053,5.243283046,11.1768,1,1325.321566,1652.865301,test,J,J,J,J,,,,,,
464305251,1654.187244,0.38589,0.0343905168,4550,1.52,2.93498,2.880347802,11.1591,1,1653.927087,1682.343783,test,,J,N,J,,,,,,
33838777,1325.72548,0.799198,0.2213059182,2260,1.16,1.28641,1.303753842,11.428,1,1325.322659,1682.34353,test,,J,N,J,,,,,,
97693847,1655.926974,13.15117,0.1826697513,28080,,16.315,16.10666445,9.53,1,1653.926072,1682.34286,test,J,J,J,J,,,,,,
323007831,1607.436824,18.331324,0.2590216081,6280,,,3.501875496,11.109,1,1596.781989,1682.34465,test,J,J,J,J,,,,,,
61892840,1657.792987,2.94256,0.14271416,490,,,11.96906224,9.8026,1,1653.926123,1682.342906,test,,J,N,J,,,,,,
21683845,1657.867276,0.770155,0.09430547975,740,2.27,1.83585,1.973532107,10.8563,1,1653.927672,1682.344313,test,,J,N,J,,,,,,
