method,threshold,precision,recall,missRate,f2,tp,fp,fn,tn
solo,0.0,0.10037021801727684,1.0,0.0,0.3580862929263281,244,2187,0,0
solo,0.0025,0.11669057867049258,1.0,0.0,0.397782849690251,244,1847,0,340
solo,0.005,0.1265625,0.9959016393442623,0.004098360655737654,0.4195441988950276,243,1677,1,510
solo,0.0075,0.13651685393258428,0.9959016393442623,0.004098360655737654,0.44085631349782295,243,1537,1,650
solo,0.01,0.14507462686567163,0.9959016393442623,0.004098360655737654,0.45831761599396453,243,1432,1,755
solo,0.0105,0.14665057332528667,0.9959016393442623,0.004098360655737654,0.4614508165590581,243,1414,1,773
solo,0.0125,0.15216030056355667,0.9959016393442623,0.004098360655737654,0.47221142635056357,243,1354,1,833
solo,0.015,0.1588235294117647,0.9959016393442623,0.004098360655737654,0.48483639265762174,243,1287,1,900
solo,0.0175,0.16474576271186442,0.9959016393442623,0.004098360655737654,0.4957160342717259,243,1232,1,955
solo,0.02,0.17064606741573032,0.9959016393442623,0.004098360655737654,0.50625,243,1181,1,1006
solo,0.0225,0.17634252539912917,0.9959016393442623,0.004098360655737654,0.516142735768904,243,1135,1,1052
solo,0.025,0.18026706231454007,0.9959016393442623,0.004098360655737654,0.5228055077452668,243,1105,1,1082
solo,0.0275,0.1853546910755149,0.9959016393442623,0.004098360655737654,0.5312636641888938,243,1068,1,1119
solo,0.03,0.19088766692851533,0.9959016393442623,0.004098360655737654,0.5402401067140952,243,1030,1,1157
solo,0.0325,0.19486768243785085,0.9959016393442623,0.004098360655737654,0.5465587044534413,243,1004,1,1183
solo,0.035,0.19983552631578946,0.9959016393442623,0.004098360655737654,0.5542883211678832,243,973,1,1214
solo,0.0375,0.2047177759056445,0.9959016393442623,0.004098360655737654,0.5617198335644937,243,944,1,1243
solo,0.04,0.20786997433704021,0.9959016393442623,0.004098360655737654,0.5664335664335663,243,926,1,1261
solo,0.0425,0.21112076455256298,0.9959016393442623,0.004098360655737654,0.5712270803949223,243,908,1,1279
solo,0.045,0.21415929203539824,0.9918032786885246,0.008196721311475419,0.5745489078822413,242,888,2,1299
solo,0.0475,0.2164111812443643,0.9836065573770492,0.016393442622950838,0.5755395683453237,240,869,4,1318
solo,0.05,0.21998166819431714,0.9836065573770492,0.016393442622950838,0.5805515239477504,240,851,4,1336
solo,0.0525,0.2245088868101029,0.9836065573770492,0.016393442622950838,0.58679706601467,240,829,4,1358
solo,0.055,0.22770398481973433,0.9836065573770492,0.016393442622950838,0.5911330049261083,240,814,4,1373
solo,0.0575,0.2318840579710145,0.9836065573770492,0.016393442622950838,0.5967180507210343,240,795,4,1392
solo,0.06,0.23460410557184752,0.9836065573770492,0.016393442622950838,0.6003001500750375,240,783,4,1404
solo,0.0625,0.23833167825223436,0.9836065573770492,0.016393442622950838,0.6051437216338881,240,767,4,1420
solo,0.065,0.24072216649949849,0.9836065573770492,0.016393442622950838,0.6082108464267613,240,757,4,1430
solo,0.0675,0.2443762781186094,0.9795081967213115,0.020491803278688492,0.6115660184237462,239,739,5,1448
solo,0.07,0.2474120082815735,0.9795081967213115,0.020491803278688492,0.6153450051493305,239,727,5,1460
solo,0.0725,0.25,0.9795081967213115,0.020491803278688492,0.6185300207039337,239,717,5,1470
solo,0.075,0.2523961661341853,0.9713114754098361,0.02868852459016391,0.618798955613577,237,702,7,1485
solo,0.0775,0.25538793103448276,0.9713114754098361,0.02868852459016391,0.6223739495798319,237,691,7,1496
solo,0.08,0.2601536772777168,0.9713114754098361,0.02868852459016391,0.6279809220985691,237,674,7,1513
solo,0.0825,0.2630410654827969,0.9713114754098361,0.02868852459016391,0.6313265849760256,237,664,7,1523
solo,0.085,0.2645739910313901,0.9672131147540983,0.032786885245901676,0.6316916488222698,236,656,8,1531
solo,0.08750000000000001,0.26787741203178206,0.9672131147540983,0.032786885245901676,0.6354334948842217,236,645,8,1542
solo,0.09,0.27033218785796104,0.9672131147540983,0.032786885245901676,0.6381828015143319,236,637,8,1550
solo,0.0925,0.271889400921659,0.9672131147540983,0.032786885245901676,0.6399132321041215,236,632,8,1555
solo,0.095,0.27357392316647267,0.9631147540983607,0.03688524590163933,0.6403269754768393,235,624,9,1563
solo,0.0975,0.27647058823529413,0.9631147540983607,0.03688524590163933,0.6434830230010953,235,615,9,1572
solo,0.1,0.2794292508917955,0.9631147540983607,0.03688524590163933,0.6466703357182169,235,606,9,1581
solo,0.10250000000000001,0.28177458033573144,0.9631147540983607,0.03688524590163933,0.6491712707182321,235,599,9,1588
solo,0.105,0.28519417475728154,0.9631147540983607,0.03688524590163933,0.6527777777777778,235,589,9,1598
solo,0.1075,0.2869352869352869,0.9631147540983607,0.03688524590163933,0.6545961002785515,235,584,9,1603
solo,0.11,0.2881773399014778,0.9590163934426229,0.040983606557377095,0.6543624161073825,234,578,10,1609
solo,0.1125,0.2903225806451613,0.9590163934426229,0.040983606557377095,0.6565656565656566,234,572,10,1615
solo,0.115,0.2932330827067669,0.9590163934426229,0.040983606557377095,0.6595264937993236,234,564,10,1623
solo,0.11750000000000001,0.2943396226415094,0.9590163934426229,0.040983606557377095,0.660643704121965,234,561,10,1626
solo,0.12,0.2969543147208122,0.9590163934426229,0.040983606557377095,0.663265306122449,234,554,10,1633
solo,0.1225,0.29923273657289,0.9590163934426229,0.040983606557377095,0.6655290102389079,234,548,10,1639
solo,0.125,0.3023255813953488,0.9590163934426229,0.040983606557377095,0.6685714285714286,234,540,10,1647
solo,0.1275,0.306282722513089,0.9590163934426229,0.040983606557377095,0.6724137931034484,234,530,10,1657
solo,0.13,0.30779392338177014,0.9549180327868853,0.04508196721311475,0.6722446624350836,233,524,11,1663
solo,0.1325,0.3098404255319149,0.9549180327868853,0.04508196721311475,0.6741898148148149,233,519,11,1668
solo,0.135,0.31090174966352624,0.9467213114754098,0.05327868852459017,0.6719022687609074,231,512,13,1675
solo,0.1375,0.3142857142857143,0.9467213114754098,0.05327868852459017,0.6750438340151957,231,504,13,1683
solo,0.14,0.3173076923076923,0.9467213114754098,0.05327868852459017,0.6778169014084506,231,497,13,1690
solo,0.14250000000000002,0.32083333333333336,0.9467213114754098,0.05327868852459017,0.6810141509433962,231,489,13,1698
solo,0.145,0.3230769230769231,0.9467213114754098,0.05327868852459017,0.6830277942046127,231,484,13,1703
solo,0.1475,0.328125,0.9467213114754098,0.05327868852459017,0.6875,231,473,13,1714
solo,0.15,0.33047210300429186,0.9467213114754098,0.05327868852459017,0.68955223880597,231,468,13,1719
solo,0.1525,0.33237410071942447,0.9467213114754098,0.05327868852459017,0.6912028725314184,231,464,13,1723
solo,0.155,0.33575581395348836,0.9467213114754098,0.05327868852459017,0.6941105769230769,231,457,13,1730
solo,0.1575,0.33771929824561403,0.9467213114754098,0.05327868852459017,0.6957831325301205,231,453,13,1734
solo,0.16,0.3397341211225997,0.9426229508196722,0.05737704918032782,0.6957047791893528,230,447,14,1740
solo,0.1625,0.34379671150971597,0.9426229508196722,0.05737704918032782,0.6990881458966566,230,439,14,1748
solo,0.165,0.344311377245509,0.9426229508196722,0.05737704918032782,0.6995133819951337,230,438,14,1749
solo,0.1675,0.3490136570561457,0.9426229508196722,0.05737704918032782,0.7033639143730888,230,429,14,1758
solo,0.17,0.3516819571865443,0.9426229508196722,0.05737704918032782,0.7055214723926381,230,424,14,1763
solo,0.17250000000000001,0.3533026113671275,0.9426229508196722,0.05737704918032782,0.7068223724646588,230,421,14,1766
solo,0.17500000000000002,0.35384615384615387,0.9426229508196722,0.05737704918032782,0.7072570725707258,230,420,14,1767
solo,0.1775,0.3582554517133956,0.9426229508196722,0.05737704918032782,0.7107540173053152,230,412,14,1775
solo,0.18,0.3605015673981191,0.9426229508196722,0.05737704918032782,0.7125154894671625,230,408,14,1779
solo,0.1825,0.36106750392464676,0.9426229508196722,0.05737704918032782,0.712957222566646,230,407,14,1780
solo,0.185,0.36220472440944884,0.9426229508196722,0.05737704918032782,0.7138423339540659,230,405,14,1782
solo,0.1875,0.3639240506329114,0.9426229508196722,0.05737704918032782,0.7151741293532339,230,402,14,1785
solo,0.19,0.3664,0.9385245901639344,0.061475409836065587,0.7151780137414117,229,396,15,1791
solo,0.1925,0.36774193548387096,0.9344262295081968,0.06557377049180324,0.7142857142857142,228,392,16,1795
solo,0.195,0.3719412724306688,0.9344262295081968,0.06557377049180324,0.7174323473882944,228,385,16,1802
solo,0.1975,0.37438423645320196,0.9344262295081968,0.06557377049180324,0.719242902208202,228,381,16,1806
solo,0.2,0.37748344370860926,0.9344262295081968,0.06557377049180324,0.7215189873417721,228,376,16,1811
solo,0.2025,0.38127090301003347,0.9344262295081968,0.06557377049180324,0.724269377382465,228,370,16,1817
solo,0.20500000000000002,0.3838383838383838,0.9344262295081968,0.06557377049180324,0.7261146496815286,228,366,16,1821
solo,0.20750000000000002,0.3890784982935154,0.9344262295081968,0.06557377049180324,0.7298335467349553,228,358,16,1829
solo,0.21,0.3910806174957118,0.9344262295081968,0.06557377049180324,0.7312379730596537,228,355,16,1832
